facet,facet_value,year,value,confidence95_lower,confidence95_upper
Alle,,1991,0.1129555,0.1082657,0.1176454
Alle,,1992,0.1149593,0.1095853,0.1203333
Alle,,1993,0.1097695,0.1034944,0.1160446
Alle,,1994,0.1265212,0.1168938,0.1361487
Alle,,1995,0.1176682,0.1107346,0.1246017
Alle,,1996,0.1085677,0.1008403,0.116295
Alle,,1997,0.1035293,0.0957792,0.1112794
Alle,,1998,0.1049576,0.097704,0.1122112
Alle,,1999,0.1064437,0.0993826,0.1135049
Alle,,2000,0.1166036,0.112501,0.1207061
Alle,,2001,0.1238515,0.1142383,0.1334647
Alle,,2002,0.1301243,0.1233294,0.1369193
Alle,,2003,0.1308581,0.1254598,0.1362563
Alle,,2004,0.1391233,0.1276839,0.1505628
Alle,,2005,0.1399877,0.1295776,0.1503978
Alle,,2006,0.136879,0.129865,0.1438929
Alle,,2007,0.1415996,0.1345324,0.1486667
Alle,,2008,0.1483512,0.1407253,0.1559771
Alle,,2009,0.1499292,0.1405505,0.1593078
Alle,,2010,0.1419627,0.1314028,0.1525226
Alle,,2011,0.1414007,0.1315825,0.1512189
Alle,,2012,0.145422,0.1387983,0.1520458
Alle,,2013,0.1527933,0.1432021,0.1623845
