category,type,value
"Sprachen, Kultur, Poltik",Nicht-berufsbezogene Weiterbildung,0.38
Pädagogik und Sozialkompetenz,Nicht-berufsbezogene Weiterbildung,0.07
Gesundheit und Sport,Nicht-berufsbezogene Weiterbildung,0.26
"Wirtschaft, Arbeit, Recht",Nicht-berufsbezogene Weiterbildung,0.06
"Natur, Technik, Computer",Nicht-berufsbezogene Weiterbildung,0.19
nicht oder nur einstellig klassifizierbar,Nicht-berufsbezogene Weiterbildung,0.04
"Sprachen, Kultur, Poltik",Individuelle berufsbezogene Weiterbildung,0.23
Pädagogik und Sozialkompetenz,Individuelle berufsbezogene Weiterbildung,0.12
Gesundheit und Sport,Individuelle berufsbezogene Weiterbildung,0.16
"Wirtschaft, Arbeit, Recht",Individuelle berufsbezogene Weiterbildung,0.23
"Natur, Technik, Computer",Individuelle berufsbezogene Weiterbildung,0.22
nicht oder nur einstellig klassifizierbar,Individuelle berufsbezogene Weiterbildung,0.04
"Sprachen, Kultur, Poltik",Betriebliche Weiterbildung,0.06
Pädagogik und Sozialkompetenz,Betriebliche Weiterbildung,0.10
Gesundheit und Sport,Betriebliche Weiterbildung,0.17
"Wirtschaft, Arbeit, Recht",Betriebliche Weiterbildung,0.39
"Natur, Technik, Computer",Betriebliche Weiterbildung,0.24
nicht oder nur einstellig klassifizierbar,Betriebliche Weiterbildung,0.05
